Victim_ID,NID,Vulnerability_Score,Allocated_Fund_BDT,Traditional_Equal_BDT,Water_Depth_ft,Duration_Days,Distance_km,Name,Upazila,House_Type,Poverty_Index,Phone,MFS_Account,Verification_Status,Norm_Depth,Norm_House,Norm_Duration,Norm_Poverty,Norm_Distance,Raw_Allocation_BDT
1,NID00091,69.18,11572.0,10000.0,10.0,9,11.0,Babul Khatun,Zakiganj,1.0,0.76,8801517136029.0,bKash-00091,Verified,0.8333333333333334,0.3333333333333333,0.4736842105263157,0.76,0.7432432432432432,11572.0
2,NID00088,48.0,8029.0,10000.0,4.8,17,9.1,Amina Chowdhury,Osmaninagar,2.0,0.33,8801639933823.0,bKash-00088,Verified,0.3999999999999999,0.6666666666666666,0.8947368421052632,0.33,0.6148648648648648,8029.0
3,NID00079,61.12,10224.0,10000.0,4.8,9,2.0,Sumon Sultana,Jaintiapur,2.0,0.87,8801781275364.0,bKash-00079,Verified,0.3999999999999999,0.6666666666666666,0.4736842105263157,0.87,0.1351351351351351,10224.0
4,NID00068,49.45,8272.0,10000.0,1.3,11,13.8,Shafiq Hossain,Tahirpur,2.0,0.68,8801552801198.0,bKash-00068,Verified,0.1083333333333333,0.6666666666666666,0.5789473684210527,0.68,0.9324324324324323,8272.0
5,NID00007,63.32,10592.0,10000.0,7.0,15,12.0,Halima Khan,Tahirpur,3.0,0.48,8801713741196.0,bKash-00007,Verified,0.5833333333333334,1.0,0.7894736842105263,0.48,0.8108108108108107,10592.0
6,NID00048,49.82,8334.0,10000.0,6.9,6,0.8,Parvin Chowdhury,Kanaighat,3.0,0.38,8801985524262.0,bKash-00048,Verified,0.5750000000000001,1.0,0.3157894736842105,0.38,0.054054054054054,8334.0
7,NID00031,45.16,7554.0,10000.0,4.9,3,9.9,Anwar Akter,Gowainghat,1.0,0.6,8801840773482.0,bKash-00031,Verified,0.4083333333333334,0.3333333333333333,0.1578947368421052,0.6,0.6689189189189189,7554.0
8,NID00058,72.73,12166.0,10000.0,10.8,17,11.7,Habib Ali,Gowainghat,2.0,0.54,8801330812709.0,bKash-00058,Verified,0.9,0.6666666666666666,0.8947368421052632,0.54,0.7905405405405405,12166.0
9,NID00035,47.52,7949.0,10000.0,2.4,5,5.9,Babul Islam,Kanaighat,3.0,0.61,8801995218477.0,bKash-00035,Verified,0.1999999999999999,1.0,0.2631578947368421,0.61,0.3986486486486486,7949.0
10,NID00094,45.61,7630.0,10000.0,4.6,12,1.5,Roksana Chowdhury,Companiganj,1.0,0.54,8801359907857.0,bKash-00094,Verified,0.3833333333333333,0.3333333333333333,0.631578947368421,0.54,0.1013513513513513,7630.0
